,tweet,sentiment
0,oppression olympics bette? really?,1
1,Y’all treating the NCT brand as a unit olympics without realizing everything you say against one unit will ultimately reflec…,1
2,#olympics 113 years ago ,0
3,"Gawt damn Bromell we wanted you to perform like this at the olympics but glad you back, world championships about t… ",1
4,@HorrorDeaths wasnt paying attention while scrolling and with the olympics going on.. i was like wtf happened! haha,1
5,@Pie123Cream @LegitBobbyHill @Marti_444 @davenewworld_2 Is this the oppression olympics?,1
6,"Yuzuru Hanyu, landing 4A, winning the olympics again in 2022 and then going for a quint in 2023 so true so true",1
7,Not the victim olympics at your big age,1
8,@BUSDlightyear @NathanWorsley_ ^^ same page fren. “Anything competitive” is like the olympics. “Who can rob more from the grocery store”,1
9,hoy johnny checkball yon🤣 kyot ni jaehyun mag signal ng challenge. Mukhang volleyball nga pinanood neto sa olympics,1
10,rare photo of Hyunjin from Loona competing in the olympics (1999) ,1
11,"Don't be sad if you weren't here for Walls olympics, Defenceless project, Walls anniversary or when Walls got to #1 after…",0
12,@TennisTV Del potro-murray 2016 olympics or djokovic-medvedev 2021 us open,1
13,"For once, Rich nigga olympics. 🔥",0
14,"kim heejin says that she likes ateez because they dance really hard, and that during the tokyo olympics every time there wa…",0
15,"@fluidcounter Really don't get why we didn't buy him. The only ""issue"" pre-olympics was a €2m difference then it just went silent",1
16,mcc really is the olympics of minecraft,1
17,can’t wait to see them embarrassing themselves at the olympics after stealing someone’s spot who deserved it much m… ,0
18,@NathanWorsley_ Comparing it to the olympics is laughable. If those who partake in MEV instead took their talents to hel…,1
19,I’m still pissed i missed the shows he hosted because of the olympics. 🤬🤬 he deserves better.,1
20,@loeyxiuminie omgg na-lss ako dito nung olympics eh 🤣 feel ko ma lss ka na rin sa national anthem nila,1
21,"snsd for high cut magazine olympics special, july 2012 ",1
22,"@PatrickAlphaC @NathanWorsley_ maybe this guy thinks hacking banks is also like the olympics. in which case, sure.… ",1
23,Who else is excited for the olympics? 🇺🇸 ,1
24,Y’all treating the NCT brand as a unit olympics without realizing everything you say against one unit will ultimately reflec…,1
25,"#repostday Yes, only Oikawa at the olympics 👑💙🥉 ",1
26,@Jinzuoh Sana maganda laban bukas. natalo kasi ng Japan ang Iran nung last olympics kaya baka gantihan sila bukas l… ,1
27,"Don't be sad if you weren't here for Walls olympics, Defenceless project, Walls anniversary or when Walls got to #1 after…",0
28,"Don't be sad if you weren't here for Walls olympics, Defenceless project, Walls anniversary or when Walls got to #1 after…",0
29,#olympics 113 years ago ,0
30,"snsd for high cut magazine olympics special, july 2012 ",1
31,Y’all treating the NCT brand as a unit olympics without realizing everything you say against one unit will ultimately reflec…,1
